CLUB_NAME,PLAYERS_COUNT,PLAYERS_AVG_AGE,LEGIONARIES_COUNT,AVG_MARKET_VALUE,TOTAL_MARKET_VALUE,season
1.FC Nürnberg,22,"23,3",2,-,-,1985
Hamburger SV,25,"26,0",3,-,-,1985
Bayer 04 Leverkusen,24,"25,0",4,-,-,1985
Hannover 96,25,"24,8",2,-,-,1985
Borussia Dortmund,21,"25,7",2,-,-,1985
VfB Stuttgart,24,"24,2",3,-,-,1985
Borussia Mönchengladbach,26,"24,6",4,-,-,1985
VfL Bochum,23,"26,7",1,-,-,1985
Eintracht Frankfurt,25,"23,4",2,-,-,1985
SV Waldhof Mannheim,22,"26,4",2,-,-,1985
FC Bayern München,22,"25,4",3,-,-,1986
Bayer 05 Uerdingen,24,"26,5",2,-,-,1986
1.FC Kaiserslautern,23,"24,2",1,-,-,1986
FC Schalke 04,24,"26,6",2,-,-,1986
FC 08 Homburg,26,"25,8",3,-,-,1986
1.FC Köln,22,"26,4",4,-,-,1986
Fortuna Düsseldorf,24,"25,1",3,-,-,1986
SV Blau-Weiß Berlin,23,"26,8",3,-,-,1986
1.FC Nürnberg,23,"25,0",2,-,-,1986
Hamburger SV,19,"25,7",2,-,-,1986
Bayer 04 Leverkusen,22,"23,6",2,-,-,1986
VfB Stuttgart,25,"24,5",2,-,-,1986
Borussia Dortmund,20,"25,2",2,-,-,1986
VfL Bochum,26,"25,7",3,-,-,1986
Borussia Mönchengladbach,25,"24,6",3,-,-,1986
SV Waldhof Mannheim,21,"26,6",3,-,-,1986
Eintracht Frankfurt,24,"24,5",4,-,-,1986
SV Werder Bremen,25,"26,8",2,-,-,1986
FC Bayern München,20,"25,8",3,-,-,1987
SV Werder Bremen,20,"27,3",1,-,-,1987
1.FC Kaiserslautern,26,"24,0",1,-,-,1987
FC Schalke 04,27,"25,5",2,-,-,1987
Bayer 05 Uerdingen,24,"26,3",2,-,-,1987
1.FC Köln,22,"26,3",3,-,-,1987
Hamburger SV,26,"26,3",4,-,-,1987
FC 08 Homburg,28,"27,0",4,-,-,1987
1.FC Nürnberg,22,"24,5",3,-,-,1987
Hannover 96,23,"26,0",3,-,-,1987
Bayer 04 Leverkusen,24,"25,3",4,-,-,1987
Karlsruher SC,27,"23,4",2,-,-,1987
Borussia Dortmund,22,"25,3",2,-,-,1987
VfB Stuttgart,23,"24,8",1,-,-,1987
Borussia Mönchengladbach,24,"24,7",3,-,-,1987
VfL Bochum,28,"25,0",3,-,-,1987
Eintracht Frankfurt,25,"24,8",4,-,-,1987
SV Waldhof Mannheim,26,"25,9",4,-,-,1987
FC Bayern München,22,"24,4",2,-,-,1988
SV Waldhof Mannheim,23,"25,7",3,-,-,1988
1.FC Kaiserslautern,25,"24,5",1,-,-,1988
FC St. Pauli,24,"26,4",3,-,-,1988
SV Werder Bremen,19,"27,1",2,-,-,1988
1.FC Köln,24,"26,2",3,-,-,1988
Hamburger SV,24,"25,6",2,-,-,1988
Bayer 05 Uerdingen,24,"25,5",2,-,-,1988
1.FC Nürnberg,28,"25,0",4,-,-,1988
Hannover 96,24,"26,0",2,-,-,1988
Bayer 04 Leverkusen,23,"25,4",4,-,-,1988
Karlsruher SC,24,"24,1",2,-,-,1988
Borussia Dortmund,21,"25,4",3,-,-,1988
Stuttgarter Kickers,25,"26,1",3,-,-,1988
Borussia Mönchengladbach,28,"24,8",6,-,-,1988
VfB Stuttgart,21,"24,4",2,-,-,1988
Eintracht Frankfurt,25,"25,7",4,-,-,1988
VfL Bochum,24,"24,4",2,-,-,1988
FC Bayern München,23,"25,3",3,-,-,1989
SV Werder Bremen,24,"27,0",2,-,-,1989
1.FC Kaiserslautern,27,"25,1",5,-,-,1989
FC St. Pauli,23,"26,8",3,-,-,1989
Bayer 05 Uerdingen,28,"24,3",2,-,-,1989
1.FC Köln,22,"26,0",4,-,-,1989
Fortuna Düsseldorf,23,"24,7",5,-,-,1989
FC 08 Homburg,25,"24,7",5,-,-,1989
1.FC Nürnberg,24,"25,4",3,-,-,1989
Hamburger SV,27,"25,0",3,-,-,1989
Bayer 04 Leverkusen,28,"24,2",4,-,-,1989
Karlsruher SC,26,"24,8",2,-,-,1989
Borussia Dortmund,24,"25,6",2,-,-,1989
